ticker,ten,kij,sen,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,maximaze,interval,
USDRUB,9,26,52,2020-12-09 10:00:00+00:00,2022-12-07 10:00:00+00:00,728 days 00:00:00,18.307498952660243,10599.708984999994,10649.268984999995,5.997089849999939,-14.270141372849604,2.9430385070812637,15.841696733308769,0.18577798556724215,0.29019836112657416,0.167423310394175,-17.578427401490792,-2.1509598501651483,337 days 03:00:00,37 days 20:00:00,78,35.8974358974359,7.9832287135989555,-12.373532782765185,0.0752851298508661,6 days 23:00:00,1 days 18:00:00,1.2059587111052017,0.09905754979841075,0.32368146802548664,Return [%],CANDLE_INTERVAL_HOUR,
USDRUB,14,18,58,2020-12-09 10:00:00+00:00,2022-12-07 10:00:00+00:00,728 days 00:00:00,17.14844295489457,16362.983710000011,16439.683710000012,63.62983710000011,-14.270141372849604,27.79345030792053,24.550557559805146,1.1320903910314746,5.283717632618123,2.1747204061796546,-12.780240728391135,-1.8190465483875458,425 days 17:00:00,21 days 01:00:00,91,50.54945054945055,16.20152717947272,-9.603214712944098,0.5434074259083044,7 days 06:00:00,1 days 07:00:00,2.960360676395017,0.5781325156795467,2.065703133884017,Return [%],CANDLE_INTERVAL_HOUR,
USDRUB,9,26,52,2020-12-11 10:00:00+00:00,2022-12-09 10:00:00+00:00,728 days 00:00:00,18.30375855805505,10660.167294999992,10710.444794999992,6.60167294999992,-14.741905769165161,3.2350424175624948,15.836533061894247,0.2042771864851298,0.3204125051921365,0.18476422932524292,-17.50902991004718,-2.1249019282051544,337 days 03:00:00,37 days 17:00:00,77,36.36363636363637,7.9832287135989555,-12.373532782765185,0.08300437174382225,6 days 23:00:00,1 days 19:00:00,1.2228412886223279,0.10706071751556091,0.3557627341593982,Return [%],CANDLE_INTERVAL_HOUR,
USDRUB,9,26,52,2020-12-14 07:00:00+00:00,2022-12-09 15:00:00+00:00,725 days 08:00:00,18.31911620752342,10660.167294999992,10710.444794999992,6.60167294999992,-14.438429383951215,3.241551166491452,15.85344084620016,0.20446988120363818,0.32073912376311686,0.1851359660212447,-17.50902991004718,-2.1249019282051544,337 days 03:00:00,37 days 17:00:00,77,36.36363636363637,7.9832287135989555,-12.373532782765185,0.08300437174382225,6 days 23:00:00,1 days 19:00:00,1.2228412886223279,0.10706071751556091,0.3557627341593982,Return [%],CANDLE_INTERVAL_HOUR,
VTBR,9,26,52,2020-12-14 07:00:00+00:00,2022-12-11 14:00:00+00:00,727 days 07:00:00,21.982414068745005,12573.614298159999,13766.048376910003,25.736142981599986,-56.35626471357573,12.418985770422196,16.387025427140667,0.7578547934546749,1.531551068821357,1.3423376478027205,-9.251760010419808,-2.3252046200749605,252 days 01:00:00,20 days 08:00:00,82,45.1219512195122,8.122417398225679,-3.0757530569017533,0.279677959702207,8 days 04:00:00,1 days 16:00:00,1.6804990289304005,0.2974053919597229,1.3254476100457702,Return [%],CANDLE_INTERVAL_HOUR,
GAZP,9,26,52,2021-04-26 14:00:00+00:00,2022-02-25 12:00:00+00:00,304 days 22:00:00,0.0,10000.0,10000.0,0.0,-25.24271844660194,0.0,0.0,nan,nan,nan,-0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Return [%],CANDLE_INTERVAL_HOUR,
VTBR,9,26,52,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,6.807817589576547,9130.951889599999,12394.23952327,-8.69048110400001,-83.315,-0.7434964370558905,10.167665626801513,0.0,0.0,0.0,-26.797746706719405,-11.748894379393377,1586 days 00:00:00,475 days 00:00:00,12,33.33333333333333,13.774369332304026,-14.341129062629454,-0.7547709544253212,65 days 00:00:00,24 days 00:00:00,0.7434510949332046,-0.5647065250257284,-0.36773385065531616,Return [%],CANDLE_INTERVAL_DAY,
FLOT,9,26,52,2020-10-07 07:00:00+00:00,2022-12-09 07:00:00+00:00,793 days 00:00:00,0.0,10000.0,10000.0,0.0,-61.57213930348259,0.0,0.0,nan,nan,nan,-0.0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Return [%],CANDLE_INTERVAL_DAY,
GMKN,9,26,52,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,16.9671603348358,14117.714,15017.002,41.17714,121.4052710609434,2.837350013373463,9.865356269112544,0.28760745542022903,0.4332526432823313,0.15186908343821512,-18.682867830224193,-4.128712302362088,1363 days 00:00:00,164 days 00:00:00,32,37.5,22.678689971650922,-4.512582874452109,1.1779282016202597,118 days 00:00:00,22 days 00:00:00,2.0968728174978692,1.3652741544020468,1.1512082633074558,Return [%],CANDLE_INTERVAL_DAY,
BABA,9,26,52,2014-09-19 07:00:00+00:00,2022-12-11 04:00:00+00:00,3004 days 21:00:00,23.81174277726002,24895.321819999994,29113.828699999995,148.95321819999992,-3.152625412717003,11.31069896525747,16.08439675023163,0.7032093985803096,1.2696514447092793,0.6148441931010851,-18.396040968053683,-3.7771866755169894,831 days 00:00:00,63 days 00:00:00,21,52.38095238095239,35.7582482658303,-6.532129855267755,4.4573243053090295,127 days 00:00:00,34 days 00:00:00,4.581202965887653,4.945226817210633,1.9257379050877523,Return [%],CANDLE_INTERVAL_DAY,
